match_id,blue_top,blue_jg,blue_mid,blue_adc,blue_sup,red_top,red_jg,red_mid,red_adc,red_sup
EUW1_7618859923,Rumble,Rengar,Mel,Yunara,Poppy,KSante,Ekko,Talon,Jhin,Rell
EUW1_7618845880,Renekton,Ivern,Taliyah,Aphelios,Alistar,Vayne,Talon,Orianna,Yunara,Rell
EUW1_7618812254,Sion,Ambessa,Akali,MissFortune,Bard,Fiora,RekSai,Galio,Jhin,Renata
EUW1_7618782563,Renekton,Diana,Yasuo,MissFortune,Lulu,Gragas,Rengar,Qiyana,Yunara,Bard
EUW1_7618714120,Jayce,Vi,Hwei,Ezreal,Karma,Urgot,Viego,Akali,Kaisa,Neeko
EUW1_7618655737,Zaahen,Aatrox,Hwei,Yunara,KSante,Chogath,Sylas,Qiyana,Aphelios,Nautilus
EUW1_7618606588,Sylas,LeeSin,Yone,Kaisa,Rakan,Renekton,Aatrox,Ekko,Yunara,Braum
EUW1_7618523144,Ambessa,Diana,Talon,Zeri,Janna,Renekton,Viego,Syndra,Sivir,Sylas
EUW1_7618462060,Gwen,Sylas,Qiyana,Jhin,Neeko,Shen,LeeSin,Ahri,Ziggs,Rell
EUW1_7618405294,Sion,Diana,Yasuo,Tristana,Alistar,Olaf,Sylas,Talon,Ziggs,Janna
EUW1_7606753056,Irelia,Sylas,Syndra,Ezreal,Karma,Gragas,LeeSin,Mel,Yunara,Lulu
EUW1_7606730138,Ambessa,Taliyah,Irelia,Jhin,Janna,Yorick,Sylas,Aurora,Kaisa,Pyke
EUW1_7606661712,Ambessa,LeeSin,Orianna,Yunara,Neeko,KSante,Nidalee,Xerath,Smolder,Poppy
EUW1_7606611426,KSante,Pantheon,Lissandra,Ashe,Soraka,Gwen,Jax,Zed,Caitlyn,Nidalee
EUW1_7606553117,KSante,Naafiri,Taliyah,Ashe,Nautilus,Camille,LeeSin,Orianna,Ezreal,Soraka
EUW1_7606484815,Ekko,Qiyana,Syndra,Kaisa,Taric,Ornn,Nidalee,Corki,Ezreal,Bard
EUW1_7606423341,Shen,Naafiri,Taliyah,Caitlyn,Karma,Aurora,LeeSin,Irelia,Ezreal,Nautilus
EUW1_7598430528,Gragas,JarvanIV,Ekko,Caitlyn,Bard,Cassiopeia,Karthus,Irelia,Draven,Rell
EUW1_7598400655,Irelia,Diana,Qiyana,Jhin,Pyke,Renekton,Graves,Malzahar,Yunara,Rell
EUW1_7597113407,Riven,LeeSin,Ekko,Kalista,Nautilus,Renekton,JarvanIV,Pantheon,Yunara,Braum
EUW1_7620376114,Aatrox,Talon,Viktor,Jhin,Poppy,Jayce,Zed,Ahri,Ezreal,Leona
EUW1_7620347051,Singed,Shaco,Ryze,Tristana,Alistar,Vladimir,Naafiri,Ekko,Lucian,Nami
EUW1_7620268027,Vladimir,Aatrox,Kassadin,Aphelios,Blitzcrank,LeeSin,Chogath,Hwei,MissFortune,Braum
EUW1_7620237948,DrMundo,Qiyana,Ahri,MissFortune,Pyke,Quinn,Diana,Hwei,Tristana,Sona
